2026-04-24 16:49:48,844 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:48,845 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:48,845 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:48,845 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:48,876 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:48,876 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:48,877 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:48,877 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:48,907 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:48,908 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:48,909 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:48,909 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:48,939 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:48,940 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:48,941 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:48,941 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:48,972 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:48,972 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:48,973 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
2026-04-24 16:49:48,973 | INFO | core.logger_config | [RUN_STEP] mode=tracking , detected=True, cmd=right speed=92
2026-04-24 16:49:49,004 | WARNING | core.logger_config | [CAMERA] cap is None
2026-04-24 16:49:49,004 | INFO | core.logger_config | [TRACK] x=470 y=320 error_x=230 error_y=0 area=3000 cmd=right speed=92
2026-04-24 16:49:49,005 | INFO | core.logger_config | [SIM] pan=92 tilt=90 cmd=right speed=92
